Mes	Año	Descripción Centro	Organismo	Número Contrato	Número Expediente	Descripcion	Tipo Contrato	Procedimiento Adjudicación	Artículo	Apartado	Criterios Adjudicación	Plazo	Empresa	NIF/CIF Adjudicatario	Fecha Adjudicación	Fecha Formalización	Número Derivado	Objeto Derivado	Presupuesto Total	Importe Adjudicación	Plazo Derivado	Fecha Aprobación Derivado	Fecha Formalización Derivado	Id
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200087	711/2011/18578	ACUERDO MARCO PARA LAS INTERVENCIONES EN EJECUCIÓN SUBSIDIARIA, ACTUACIONES DE EMERGENCIA, ADOPCIÓN DE MEDIDAS DE SEGURIDAD Y REPARACIONES DE EMERGENCIA EN EDIFICIOS MUNICIPALES EN EL TÉRMINO MUNICIPAL DE MADRID.  (LOTE 1)	Obras	Abierto			Pluralidad de criterios	48	FCC CONSTRUCCION; S.A.	A28854727	23/12/2011	13/01/2012	60	711/2014/10914AVDA. BADAJOZ, 74.- CEIP MÉJICO	108798	108.798,07 €	4,16	15/12/2014	16/12/2014	0
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200087	711/2011/18578	ACUERDO MARCO PARA LAS INTERVENCIONES EN EJECUCIÓN SUBSIDIARIA, ACTUACIONES DE EMERGENCIA, ADOPCIÓN DE MEDIDAS DE SEGURIDAD Y REPARACIONES DE EMERGENCIA EN EDIFICIOS MUNICIPALES EN EL TÉRMINO MUNICIPAL DE MADRID.  (LOTE 1)	Obras	Abierto			Pluralidad de criterios	48	FCC CONSTRUCCION; S.A.	A28854727	23/12/2011	13/01/2012	61	711/2014/14733 RLL.- CONTRATO DERIVADO DE OBRAS RELATIVAS A LA ACTUACIÓN EN EDIFICIOS O ESPACIOS MUNICIPALES POR EL PROCEDIMIENTO DE EMERGENCIA EN EL CENTRO DEPORTIVO MUNICIPAL “LA CONCEPCIÓN”, CALLE HERMANOS DE PABLOS Nº 46 DE MADRID.	210524	210.524,43 €	4,76	12/12/2014	16/12/2014	1
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200087	711/2011/18578	ACUERDO MARCO PARA LAS INTERVENCIONES EN EJECUCIÓN SUBSIDIARIA, ACTUACIONES DE EMERGENCIA, ADOPCIÓN DE MEDIDAS DE SEGURIDAD Y REPARACIONES DE EMERGENCIA EN EDIFICIOS MUNICIPALES EN EL TÉRMINO MUNICIPAL DE MADRID.  (LOTE 1)	Obras	Abierto			Pluralidad de criterios	48	FCC CONSTRUCCION; S.A.	A28854727	23/12/2011	13/01/2012	62	711/2014/15000   CONTRATO DERIVADO DE OBRAS DE ACTUACIÓN EN EDIFICIOS O ESPACIOS MUNICIPALES POR PROCEDIMIENTO DE EMERGENCIA EN MERCADO MUNICIPAL CENTRO COMERCIAL LAS VENTAS, C/ VIRGEN DE LA ALEGRÍA, 10.	259888	259.888,47 €	5,56	05/12/2014	11/12/2014	2
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200088	711/2011/18578	ACUERDO MARCO PARA LAS INTERVENCIONES EN EJECUCIÓN SUBSIDIARIA, ACTUACIONES DE EMERGENCIA, ADOPCIÓN DE MEDIDAS DE SEGURIDAD Y REPARACIONES DE EMERGENCIA EN EDIFICIOS MUNICIPALES EN EL TÉRMINO MUNICIPAL DE MADRID. (LOTE 2)	Obras	Abierto			Pluralidad de criterios	48	FERROVIAL AGROMAN S.A.	A28019206	23/12/2011	13/01/2012	149	711/2014/18774   CONTRATO DERIVADO DE OBRAS DE ACTUACIÓN INMEDIATA POR PROCEDIMIENTO DE EMERGENCIA EN LA CALLE JUAN DE URBIETA, Nº 19.	5864	5.864,48 €	0,36	27/11/2014	02/12/2014	3
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200088	711/2011/18578	ACUERDO MARCO PARA LAS INTERVENCIONES EN EJECUCIÓN SUBSIDIARIA, ACTUACIONES DE EMERGENCIA, ADOPCIÓN DE MEDIDAS DE SEGURIDAD Y REPARACIONES DE EMERGENCIA EN EDIFICIOS MUNICIPALES EN EL TÉRMINO MUNICIPAL DE MADRID. (LOTE 2)	Obras	Abierto			Pluralidad de criterios	48	FERROVIAL AGROMAN S.A.	A28019206	23/12/2011	13/01/2012	150	711/2014/20320 OBRAS DE LA ACTUACIÓN INMEDIATA POR EL PROCEDIMIENTO DE EMERGENCIA EN CALLE DE MELQUÍADES BIENCINTO, Nº 11 B	19224	19.224,48 €	2,3	12/12/2014	15/12/2014	4
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200088	711/2011/18578	ACUERDO MARCO PARA LAS INTERVENCIONES EN EJECUCIÓN SUBSIDIARIA, ACTUACIONES DE EMERGENCIA, ADOPCIÓN DE MEDIDAS DE SEGURIDAD Y REPARACIONES DE EMERGENCIA EN EDIFICIOS MUNICIPALES EN EL TÉRMINO MUNICIPAL DE MADRID. (LOTE 2)	Obras	Abierto			Pluralidad de criterios	48	FERROVIAL AGROMAN S.A.	A28019206	23/12/2011	13/01/2012	151	C/RIVAS,29.  711/2014/22389	26106	26.106,05 €	0,8	26/12/2014	31/12/2014	5
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200088	711/2011/18578	ACUERDO MARCO PARA LAS INTERVENCIONES EN EJECUCIÓN SUBSIDIARIA, ACTUACIONES DE EMERGENCIA, ADOPCIÓN DE MEDIDAS DE SEGURIDAD Y REPARACIONES DE EMERGENCIA EN EDIFICIOS MUNICIPALES EN EL TÉRMINO MUNICIPAL DE MADRID. (LOTE 2)	Obras	Abierto			Pluralidad de criterios	48	FERROVIAL AGROMAN S.A.	A28019206	23/12/2011	13/01/2012	152	711/2014/20315.- CONTRATO DERIVADO DE OBRAS DE ACTUACIÓN INMEDIATA POR EL PROCEDIMIENTO DE EMERGENCIA EN CALLE DE MELQUÍADES BIENCINTO Nº 11.	15407	15.407,04 €	2,3	15/12/2014	17/12/2014	6
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200089	711/2011/18578	ACUERDO MARCO PARA LAS INTERVENCIONES EN EJECUCIÓN SUBSIDIARIA, ACTUACIONES DE EMERGENCIA, ADOPCIÓN DE MEDIDAS DE SEGURIDAD Y REPARACIONES DE EMERGENCIA EN EDIFICIOS MUNICIPALES EN EL TÉRMINO MUNICIPAL DE MADRID. (LOTE 3)	Obras	Abierto			Pluralidad de criterios	48	COARSA, S.A.	A28467306	23/12/2011	13/01/2012	95	711/2014/17531 DERIVADO OBRAS DEMOLICIÓN DE DEPÓSITO ELEVADO, INCLUSO RETIRADA DE RESIDUOS SÓLIDOS Y ACONDICIONAMIENTO DEL SOLAR MUNICIPAL SITO EN LA CALLE PÁRROCO EUSEBIO CUENCA FRENTE AL Nº 54-58.	118727	118.727,02 €	2	23/12/2014	26/12/2014	7
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200089	711/2011/18578	ACUERDO MARCO PARA LAS INTERVENCIONES EN EJECUCIÓN SUBSIDIARIA, ACTUACIONES DE EMERGENCIA, ADOPCIÓN DE MEDIDAS DE SEGURIDAD Y REPARACIONES DE EMERGENCIA EN EDIFICIOS MUNICIPALES EN EL TÉRMINO MUNICIPAL DE MADRID. (LOTE 3)	Obras	Abierto			Pluralidad de criterios	48	COARSA, S.A.	A28467306	23/12/2011	13/01/2012	96	711/2014/18827 DERIVADO DE OBRAS DE DEMOLICIÓN DE EDIFICACIONES MUNICIPALES, RETIRADA DE RESIDUOS SÓLIDOS, ACONDICIONAMIENTO Y VALLADO DE SOLAR MUNICIPAL EN LA C/ MUNTADAS Nº 4-JOAQUÍN TURINA. DISTRITO DE LATINA.	81011	81.011,25 €	2	16/12/2014	26/12/2014	8
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200089	711/2011/18578	ACUERDO MARCO PARA LAS INTERVENCIONES EN EJECUCIÓN SUBSIDIARIA, ACTUACIONES DE EMERGENCIA, ADOPCIÓN DE MEDIDAS DE SEGURIDAD Y REPARACIONES DE EMERGENCIA EN EDIFICIOS MUNICIPALES EN EL TÉRMINO MUNICIPAL DE MADRID. (LOTE 3)	Obras	Abierto			Pluralidad de criterios	48	COARSA, S.A.	A28467306	23/12/2011	13/01/2012	97	711/2014/07125  LAGUNA DEL MARQUESADO, 13	48840	48.840,28 €	1,73	26/12/2014	31/12/2014	9
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200090	711/2011/18578	ACUERDO MARCO PARA LAS INTERVENCIONES EN EJECUCIÓN SUBSIDIARIA, ACTUACIONES DE EMERGENCIA, ADOPCIÓN DE MEDIDAS DE SEGURIDAD Y REPARACIONES DE EMERGENCIA EN EDIFICIOS MUNICIPALES EN EL TÉRMINO MUNICIPAL DE MADRID. (LOTE 4)	Obras	Abierto			Pluralidad de criterios	48	ORTIZ CONSTRUCCIONES Y PROYECTOS, S.A.	A19001205	23/12/2011	13/01/2012	115	711-2014-20756 CONTRATO DERIVADO DE OBRAS DE ADOPCIÓN DE MEDIDAS DE SEGURIDAD Y CONSOLIDACIÓN URGENTES POR PROCEDIMIENTO DE EMERGENCIA EN EL APARCAMIENTO SUBTERRÁNEO MUNICIPAL SITUADO EN LA PLAZA DEL CARMEN, S/N DE MADRID.	36895	36.895,43 €	0,86	10/12/2014	15/12/2014	10
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200090	711/2011/18578	ACUERDO MARCO PARA LAS INTERVENCIONES EN EJECUCIÓN SUBSIDIARIA, ACTUACIONES DE EMERGENCIA, ADOPCIÓN DE MEDIDAS DE SEGURIDAD Y REPARACIONES DE EMERGENCIA EN EDIFICIOS MUNICIPALES EN EL TÉRMINO MUNICIPAL DE MADRID. (LOTE 4)	Obras	Abierto			Pluralidad de criterios	48	ORTIZ CONSTRUCCIONES Y PROYECTOS, S.A.	A19001205	23/12/2011	13/01/2012	116	711/2014/18460 Pº DEL COMANDANTE FORTEA 71CEIP EEUU DE AMÉRICA.	7865	7.864,60 €	0,56	26/12/2014	31/12/2014	11
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200202	711/2011/22259	ACUERDO MARCO DE SERVICIOS PARA LA REDACCIÓN DE INFORMES EN EDIFICIOS CON POSIBLES DAÑOS ESTRUCTURALES, LA ELABORACIÓN DE ACTAS DE INSPECCIÓN TÉCNICA DE EDIFICIOS EN APLICACIÓN DE LA EJECUCIÓN SUBSIDIARIA Y LA REDACCIÓN DE PROYECTOS Y LA ASISTENCIA TÉCNICA A LA DIRECCIÓN FACULTATIVA DE LAS INTERVENCIONES EN EJECUCIÓN SUBSIDIARIA, ACTUACIONES SINGULARES, ADOPCIÓN DE MEDIDAS DE SEGURIDAD Y REPARACIONES DE EMERGENCIA EN EDIFICIOS MUNICIPALES EN EL TÉRMINO MUNICIPAL DE MADRID. (LOTE 3)	Servicios	Abierto			Pluralidad de criterios	45,86	UTE  ORTIZ, CONSTRUCCIONES Y PROYECTOS, S.A. E INDAGSA, SISTEMA CONSTRUCTIVO, S.A.U. ( UTE LOTE 3 )	U86382744	08/02/2012	05/03/2012	37	711/2014/20969 DERIVADO DE SERVICIOS PARA LA REDACCIÓN DE INFORMES EN EDIFICIOS CON POSIBLES DAÑOS ESTRUCTURALES ZONA 3 (11/2014).	11713	11.712,59 €	0,4	22/12/2014	26/12/2014	12
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200308	711/2011/26554	ACUERDO MARCO DE SERVICIOS DE COORDINACIÓN EN MATERIA DE SEGURIDAD Y SALUD DE LAS OBRAS A EJECUTAR POR EL ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA.	Servicios	Abierto			Pluralidad de criterios	41,86	INGENIERIA Y PREVENCION DE RIESGOS, S.L.	B81470841	06/06/2012	05/07/2012	306	PLF 711/2014/21972  CONTRATO DERIVADO DE SERVICIOS DE SEGURIDAD Y SALUD DE LAS OBRAS DE EJECUCIÓN INMEDIATA EN LA CALLE DE LOS ROBLES Nº 3	543	542,98 €	2,3	22/12/2014	26/12/2014	13
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200308	711/2011/26554	ACUERDO MARCO DE SERVICIOS DE COORDINACIÓN EN MATERIA DE SEGURIDAD Y SALUD DE LAS OBRAS A EJECUTAR POR EL ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA.	Servicios	Abierto			Pluralidad de criterios	41,86	INGENIERIA Y PREVENCION DE RIESGOS, S.L.	B81470841	06/06/2012	05/07/2012	307	711/2014/20831 EBM/RLL.- DERIVADO DE SERVICIOS PARA LA DESIGNACIÓN DEL COORDINADOR DE SEGURIDAD Y SALUD DE LAS OBRAS RELATIVAS A LA ACTUACIÓN EN EDIFICIOS O ESPACIOS MUNICIPALES POR EL PROCEDIMIENTO DE EMERGENCIA EN CALLE DE SEGURA Nº 3, CENTRO DE MAYORES  ARTURO PAJUELO.	38	38,07 €	0,86	19/12/2014	26/12/2014	14
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200308	711/2011/26554	ACUERDO MARCO DE SERVICIOS DE COORDINACIÓN EN MATERIA DE SEGURIDAD Y SALUD DE LAS OBRAS A EJECUTAR POR EL ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA.	Servicios	Abierto			Pluralidad de criterios	41,86	INGENIERIA Y PREVENCION DE RIESGOS, S.L.	B81470841	06/06/2012	05/07/2012	308	711/2014/21469 RLL.- DERIVADO DE SERVICIOS PARA LA DESIGNACIÓN DEL COORDINADOR DE SEGURIDAD Y SALUD DE LAS OBRAS RELATIVAS A LA EJECUCIÓN INMEDIATA, POR PROCEDIMIENTO DE EMERGENCIA EN LA CALLE DE ENRIQUE VELASCO Nº. 16 DE MADRID.	531	531,30 €	1	19/12/2014	26/12/2014	15
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200308	711/2011/26554	ACUERDO MARCO DE SERVICIOS DE COORDINACIÓN EN MATERIA DE SEGURIDAD Y SALUD DE LAS OBRAS A EJECUTAR POR EL ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA.	Servicios	Abierto			Pluralidad de criterios	41,86	INGENIERIA Y PREVENCION DE RIESGOS, S.L.	B81470841	06/06/2012	05/07/2012	309	EBM 711/2014/19982  CONTRATO DERIVADO DE SERVICIOS DE SEGURIDAD Y SALUD DE LAS OBRAS EN CALLE DE LA LONJA DE LA SEDA Nº 6 AL 24 C/V A CALLE DE ALZINA Nº 37	310	310,32 €	4,63	19/12/2014	26/12/2014	16
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200308	711/2011/26554	ACUERDO MARCO DE SERVICIOS DE COORDINACIÓN EN MATERIA DE SEGURIDAD Y SALUD DE LAS OBRAS A EJECUTAR POR EL ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA.	Servicios	Abierto			Pluralidad de criterios	41,86	INGENIERIA Y PREVENCION DE RIESGOS, S.L.	B81470841	06/06/2012	05/07/2012	310	C/ MUNTADAS 4 - JOAQUIN TURINA DISTRITO DE LATINA  711/2014/18828	954	953,58 €	2	16/12/2014	16/12/2014	17
Enero	2015	AYUNTAMIENTO DE MADRID	ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA	201200308	711/2011/26554	ACUERDO MARCO DE SERVICIOS DE COORDINACIÓN EN MATERIA DE SEGURIDAD Y SALUD DE LAS OBRAS A EJECUTAR POR EL ÁREA DE GOBIERNO DE URBANISMO Y VIVIENDA.	Servicios	Abierto			Pluralidad de criterios	41,86	INGENIERIA Y PREVENCION DE RIESGOS, S.L.	B81470841	06/06/2012	05/07/2012	311	711/2014/19260 CONTRATO DERIVADO DE SERVICIOS PARA LA DESIGNACIÓN DEL COORDINADOR DE SEGURIDAD Y SALUD PARA LA REALIZACIÓN DE LAS OBRAS DE EJECUCIÓN INMEDIATA EN LA RONDA DE LAS COOPERATIVAS Nº 3, POR EL PROCEDIMIENTO DE EMERGENCIA	2262	2.261,59 €	2,36	19/12/2014	26/12/2014	18
